ID	author	year	journal	title	abstract
dce_1	Khanlou, N. and Khan, A. and Vazquez, L.M. and Zangeneh, M.	2020	Journal of Developmental and Physical Disabilities	Digital Literacy, Access to Technology and Inclusion for Young Adults with Developmental Disabilities	Access to and use of digital technology promise positive impacts on young adults with developmental disabilities' social and economic integration, and on supporting their autonomy, and facilitating their inclusion into society. We conducted a scoping review, applying Arksey and O'Malley's (International Journal of Social Research Methodology, 8(1), 19-32, Arksey and O'Malley 2005) approach, of peer-reviewed journal articles, to examine the barriers to access and utilization of digital technology to support the transition stage needs (in relation to education, daily living, community integration, and employment) of young adults with developmental disabilities. A total of 29 studies were located that met the review's inclusion criteria. Identified barriers included training, affordability, availability, infrastructure, design, lack of fit with needs, access to community activities, literacy, and accommodations. We applied a socio-ecological approach (Bronfenbrenner & Ceci, Psychological Review, 101(4), 568-586, Bronfenbrenner and Ceci 1994) in interpreting our findings. The review highlights the importance of facilitators for promoting digital inclusion of young adults with developmental disabilities. (c) 2020, Springer Science+Business Media, LLC, part of Springer Nature.
dce_2	Rodriguez Hernandez, Y. and Jimenez, G.E.R.	2019	Revista de Logopedia, Foniatria y Audiologia	Digital literacy in phonoaudiology: challenges of professional training since technological advances [Competencia digital en Fonoaudiologia: retos de formacion profesional desde los avances tecnologicos]	In Phonoaudiology, the use of ICT has created a field known as Telerehabilitation and Telepractice and has required the development of the digital literacy. The following article aims to reflect on the knowledge and the skills associated with the use of ICT in Phonoaudiology. The paper introduces technological resources used to treat different problems (language, speech, voice, communication, swallowing). Besides there is a reflection on the implications of technological resources uses in future professionals' training programs, and the strategies that can be used for the development of the required competencies. (c) 2019 Elsevier Espana, S.L.U. y Asociacion Espanola de Logopedia, Foniatria y Audiologia e Iberoamericana de Fonoaudiologia
dce_3	Mudure-Iacob, I.	2019	Astra Salvensis	Digital literacy: From multi-functional skills to overcoming challenges in teaching ESP	Teaching English for Specific Purposes through the lens of digital literacy is perceived as a contemporary educational conundrum, as it deals with various elements of permanent changes. Focused on using technology and gadgets along the teaching-learning process, teachers and learners require solid digital literacy skills to guide them through the blended learning formats. The acquisition of language skills today is no longer a simple matter of learning and producing content in the physical school environment, but rather, it has become an elaborate process of combining multiple skills (digital, literacy, visual, technological) and creating the most appropriate frameworks for customised learning. With the specificity of teaching ESP, the challenges that occur within this educational endeavour are many and complex, spanning from learners' tailored needs to teachers' tech-saviness. It is therefore the purpose of the current paper to analyse some particularities of ESP teaching based on sharing digital skills, by indicating potential flaws and benefits along the way. The practical viewpoint will be rendered in a brief analysis of the most common and prolific digital tools used to provide aid in teaching specific foundational language skills. (c) 2019 Transilvanian Association for the Literarure and Culture of Romanian People (ASTRA). All rights reserved.
dce_4	Pernet-Liu, A.	2019	Ela	The didactics of intercultural and transcultural competence in digital literacy in a foreign language for Chinese FFL students in China [La didactique d'une competence interculturelle et transculturelle de litteratie numerique en langue etrangere pour des etudiants chinois de fle en chine]	
dce_5	Munoz Perez, E. and Cubo Delgado, S.	2019	Profesorado	Digital competence, special education teachers'training and attitude towards the ICT (information and communication technologies) [Competencia digital, formacion y actitud del profesorado de educacion especial hacia las tecnologias de la informacion y la comunicacion (TIC)]	This essay shows the results of an investigation which aim is to evaluate the degree of digital competence of the special education teachers and know what type of attitude and training they have in Information and communication technologies (ICT). From a methodological point of view, it is a quantitative research developed in a descriptive way. A previously validated questionnaire was used of a sample of 50 special education teachers. Both: hearing and language teachers (AL) and therapeutic pedagogy teachers (PT). The teachers work in different schools: special education schools, common schools, either public, private or a Mixture of both. The results show a deficit in in the Digital Competence, although it is not very important. In the same way, we can say that the teachers' training is medium-low although, they have a positive attitude towards (ICTs). (c) 2019 Grupo de Investigacion FORCE. All rights reserved.
dce_6	Gibson, P.F. and Smith, S.	2018	Information and Learning Science	Digital literacies: preparing pupils and students for their information journey in the twenty-first century	Purpose: In a fast-moving world where technology has become intertwined with our daily lives, meaning information is available at our fingertips, information overload (Khabsa and Giles, 2014) is just one of many challenges that this technological overhaul has presented for learners from the primary classroom up to studies within higher education (HE). This paper aims to present skills needed by both pupils and students to navigate their information journey, and discusses how educators can support the acquisition and development of these skills. Design/methodology/approach: Drawing on key literature in the fields of education and academia through the process of systematic review and adopting the analogy of a journey to represent lifelong learning, this bipartite paper explores how both primary school pupils and university students are required to access information in their very own information journeys in this "Information Age". Findings: The similarities and differences between child and adult learners are considered. This paper shares practical strategies for promoting the smarter use of information - and a shorter journey - for these "travelers" along the way. This paper essentially aims to raise questions in the minds of educators as they help to prepare their learners to learn. Originality/value: This paper offers an interesting insight for teachers and lecturers as the crossover between two sets of learners, primary-age pupils and students in HE, is considered in terms of how we, as educators, can help to provide more effective and efficient information journeys, and therefore promote successful learning. A five-stage model is presented for the information journey. (c) 2018, Emerald Publishing Limited.
dce_7	Poveda, S.	2018	International Development Planning Review	A psychosocial analysis of development outcomes: A digital literacy case study in Myanmar	Information and communication technologies for development (ICT4D) research shows inconclusive impacts on human development. Some authors argue that impact can only be studied with a clear definition of development. This paper draws on the capabilities approach, critical pedagogy and critical psychosocial well-being to propose a way of defining and operationalising development, to study a digital literacy initiative in Myanmar. Results show that while participants do indeed improve their digital skills, internalised constraints, such as self-censorship and fear of authority, limit teachers' and students' behaviours during the training sessions, impacting how all related to information. The paper argues that ICT4D will benefit from an understanding of development that acknowledges the social and psychological well-being of individuals, and how these affect each other, enhancing or constraining individuals' development. This acknowledgement may also bring some light to why many initiatives have failed to have the expected impacts, in particular in a long-term perspective. (c) 2018 Liverpool University Press. All rights reserved.
dce_8	Traxler, J.	2018	Research in Learning Technology	Digital literacy: A palestinian refugee perspective	This paper is the first attempt to explore digital literacy in the specific context of the Palestinian refugee community in the Middle East by looking at the cultural specificity of digital literacy theorising and practice, by analysing current digital education policy in the countries hosting the Palestinian refugee community and by documenting the digital environment of the Palestinian refugee. It identifies the distance or deficit between the community's current access to digital literacy education, appropriately defined, and its digital environment, needs and opportunities. Finally, the paper provides a brief agenda for further empirical research. (c) 2018 John Traxler.
dce_9	Breakstone, J. and McGrew, S. and Smith, M. and Ortega, T. and Wineburg, S.	2018	Phi Delta Kappan	Why we need a new approach to teaching digital literacy	In recent years -- and especially since the 2016 presidential election -- numerous media organizations, newspapers, and policy advocates have made efforts to help Americans become more careful consumers of the information they see online. In K-12 and higher education, the main approach has been to provide students with checklists they can use to assess the credibility of individual websites. However, the checklist approach is outdated. It would be far better to teach young people to follow the lead of professional fact-checkers: When confronted by a new and unfamiliar website, they begin by looking elsewhere on the web, searching for any information that might shed light on who created the site in question and for what purpose. (c) 2018, (c) 2018 by Phi Delta Kappa International.
dce_10	Paz Prendes Espinosa, Ma. and Porlan, I.G. and Sanchez, F.M.	2018	Revista de Educacion a Distancia	Digital competence: A need for university teachers in the 21st century [Competencia digital: Una necesidad del profesorado universitario en el siglo XXI]	This article presents an analysis of the current situation of Spanish universities and their technological infrastructure. This analysis is the first step to reflect on the situation of university teachers. We focus on teachers' professional competence in order to revise their teaching competence, which will allow us to examine different models of teaching digital competence at university. This systematic review is useful when presenting our own proposal. After collecting data on all the dimensions described in previous models, we build a new model based on five dimensions (technical, information and communication, educational, self-reflection, and social and ethical) and three fields of application (teaching, research, and management). This new model may be a useful tool for future empirical research while it may promote critical reflection. (c) 2018 Revista de Educacion a Distancia. All Rights Reserved.
